id,startTime,origin,destination,totalPower,graph,minimumCapacity,chargeLevelInterval,optimizedCost,optimizedCostDuration,optimizedDuration,optimizedDurationFinancialCost,endTime,error
41ff4b3e05d,1.68454E+12,"{""latitude"":59.19175467697872,""longitude"":16.251242563498362}","{""latitude"":59.960471176055904,""longitude"":17.663121843595416}",18190.38901,,43,50,0,8706.4,8706.4,0,1.68454E+12,
b51001172fd,1.68515E+12,"{""latitude"":57.62341098110528,""longitude"":14.922427705040803}","{""latitude"":58.33589941320827,""longitude"":16.50557808606414}",18392.30215,,43,50,25.47580124,11158.62002,11158.62002,25.47580124,1.68515E+12,
d76f4de6142,1.68487E+12,"{""latitude"":57.7081597789837,""longitude"":16.485545771640876}","{""latitude"":57.59350778770556,""longitude"":14.024032837574238}",18834.66593,,43,50,23.70899314,12908.15098,11809.58294,25.0167108,1.68487E+12,
fecbc051938,1.6849E+12,"{""latitude"":59.19389414502276,""longitude"":14.536069933297895}","{""latitude"":59.784605877284314,""longitude"":16.00261110365651}",18865.83853,,43,50,0,9122.1,9122.1,0,1.6849E+12,
c7452c3f135,1.68493E+12,"{""latitude"":58.16584327393447,""longitude"":15.661349008502972}","{""latitude"":58.715947917905496,""longitude"":14.233612903679017}",19130.71817,,43,50,31.69752188,12926.43919,12926.43919,31.69752188,1.68493E+12,
2dc61d003a3,1.68493E+12,"{""latitude"":58.79821130895234,""longitude"":14.172764909273859}","{""latitude"":58.46572143142338,""longitude"":11.95937700235928}",19330.4157,,43,50,31.62979333,13384.43464,12789.79272,43.44083987,1.68493E+12,
06523b8e3ab,1.68517E+12,"{""latitude"":58.722107233656885,""longitude"":15.086920300575088}","{""latitude"":59.85943132308986,""longitude"":14.6687607065398}",19625.79152,,43,50,47.27153075,12631.04644,12631.04644,47.27153075,1.68517E+12,
66e27183fbc,1.68488E+12,"{""latitude"":58.61268338074196,""longitude"":13.387952867319129}","{""latitude"":58.519104053029615,""longitude"":15.392560009193915}",19686.40474,,,,,,,,1.68488E+12,{}
289b2693121,1.68516E+12,"{""latitude"":58.06051436382238,""longitude"":15.68565071589465}","{""latitude"":59.071432941670885,""longitude"":16.50373770286287}",19845.56621,,43,50,13.30092758,9602.824872,9602.824872,13.30092758,1.68516E+12,
b113d02aa55,1.68499E+12,"{""latitude"":58.29751911500845,""longitude"":16.65757035848339}","{""latitude"":57.15148537775361,""longitude"":15.258663654271112}",19977.4677,,43,50,41.797557,13819.52332,13819.52332,41.797557,1.685E+12,
337addb98c0,1.68494E+12,"{""latitude"":59.574125577377494,""longitude"":13.23821824914712}","{""latitude"":58.35632390749062,""longitude"":12.587700263756936}",20024.53921,,43,50,32.19691489,13923.8441,13360.56232,34.56982987,1.68494E+12,
e5502e17df1,1.68488E+12,"{""latitude"":58.23650545299916,""longitude"":12.453003428806893}","{""latitude"":59.43120092578072,""longitude"":11.897772104134411}",20152.63134,,43,50,55.65210775,13893.99171,13893.99171,55.65210775,1.68488E+12,
0f082d9420d,1.68511E+12,"{""latitude"":58.2514098991152,""longitude"":14.366614619838256}","{""latitude"":56.91577198255833,""longitude"":14.208149408386102}",20465.76984,,43,50,22.03687311,11057.90517,11057.90517,22.03687311,1.68511E+12,
